SP500,APPL,TSLA,MSFT,AMZN,COST
208.55,29.7,14.79,53.94,33.06,162.83
209.31,29.83,14.67,54.19,33.42,163.1
209.07,29.44,14.52,54.19,33.95,163.45
209.35,29.72,14.55,54.25,33.56,162.19
209.32,29.51,15.31,53.69,33.77,162.39
209.56,29.45,15.44,53.93,33.66,163.58
208.69,29.58,15.35,54.35,33.24,161.42
210.68,29.34,15.81,55.22,33.95,161.29
208.53,29.07,15.47,55.21,33.8,161.09
205.61,28.8,15.51,54.2,33.31,163.67
209.62,29.76,15.36,55.91,33.63,166.8
208.35,29.57,15.41,55.81,33.49,167.12
206.95,29.56,15.11,55.79,33.87,168.87
205.34,28.91,14.97,54.98,33.24,159.72
205.87,29.04,15.14,55.27,33.12,161.86
201.88,28.3,14.47,54.06,32.01,160.02
202.9,28.12,14.57,55.14,32.9,161.84
205.03,27.62,14.74,55.2,32.93,161.29
208.03,27.84,15.63,56.13,33.79,162.76
204.86,27.25,15.56,55.7,33.53,160.68
200.02,26.51,15.36,54.13,33.21,157.7
201.67,26.83,15.5,54.83,33.23,159.39
203.5,26.81,15.33,55.35,33.16,161.23
206.02,27.15,15.31,55.82,33.19,161.71
205.68,27.01,15.37,55.67,33.14,161.75
205.21,26.71,15.26,55.95,33.76,161.16
207.4,27.19,15.81,56.55,34.7,162.66
205.93,26.83,15.87,56.31,34.45,162.71
203.87,26.32,16.0,55.48,33.79,161.5
201.02,26.34,14.89,54.8,31.85,159.54
201.36,25.68,14.9,55.05,31.69,159.93
198.82,25.18,14.6,54.05,31.63,158.45
194.05,24.11,14.38,52.17,30.4,154.82
191.92,24.24,14.07,52.33,30.35,152.11
192.11,24.63,13.86,52.3,30.89,154.72
193.66,24.99,14.0,52.78,30.89,156.06
188.83,24.35,13.35,51.64,29.09,152.12
191.93,24.88,13.75,53.11,29.65,153.18
187.81,24.28,13.67,50.99,28.51,150.39
188.06,24.17,13.65,50.56,28.72,150.47
185.65,24.2,13.25,50.79,28.59,148.82
186.69,24.08,13.33,50.48,28.75,150.38
190.52,25.36,13.5,52.29,29.82,153.69
187.64,24.86,13.09,51.79,29.83,150.78
190.2,25.0,12.9,52.17,30.06,148.5
188.13,23.36,12.54,51.22,29.17,147.73
189.11,23.52,12.65,52.06,31.77,149.59
193.72,24.34,12.75,55.09,29.35,151.12
193.65,24.11,13.13,54.71,28.74,151.25
190.16,23.62,12.19,53.0,27.61,148.5
191.3,24.09,11.57,52.16,26.55,146.7
191.6,24.15,11.69,52.0,26.81,143.28
187.95,23.51,10.84,50.16,25.11,143.99
185.42,23.75,9.87,49.41,24.41,147.02
185.43,23.75,9.88,49.28,24.1,147.94
185.27,23.57,9.58,49.71,24.52,148.05
182.86,23.43,10.03,49.69,25.19,146.65
186.63,23.5,10.07,50.5,25.35,148.65
189.78,24.16,10.34,51.09,26.06,149.11
192.88,24.53,11.25,52.42,26.71,150.91
192.09,24.07,11.12,52.19,26.25,148.65
192.0,24.01,11.11,51.82,26.75,148.7
194.78,24.22,11.85,52.65,27.98,150.06
192.32,23.67,11.81,51.18,27.65,150.36
193.2,24.03,11.93,51.36,27.7,153.87
195.54,24.19,12.5,52.1,27.76,154.72
195.09,24.23,12.69,51.3,27.76,149.68
193.56,24.17,12.8,50.88,27.63,150.03
198.11,25.13,12.42,52.58,28.95,150.52
199.0,25.19,12.56,52.95,29.01,152.79
199.78,25.38,13.05,52.35,28.87,151.6
200.43,25.75,13.4,52.03,28.76,150.9
200.59,25.47,13.69,51.03,28.14,148.17
198.4,25.26,13.51,51.65,28.01,150.95
199.38,25.28,13.91,52.84,27.97,153.05
199.54,25.29,13.68,52.05,27.95,152.87
202.76,25.57,13.83,53.07,28.48,152.71
202.5,25.63,14.34,53.17,28.67,152.67
202.17,26.15,14.56,53.59,28.85,154.18
203.34,26.49,14.8,54.35,28.71,154.06
204.63,26.45,15.09,54.66,27.97,153.84
204.38,26.48,15.52,53.49,27.6,153.15
204.67,26.48,15.89,53.86,27.7,153.94
204.56,26.68,15.62,54.07,28.02,152.23
203.21,26.53,14.84,53.97,28.48,153.51
203.12,26.42,15.18,54.21,29.15,151.43
203.24,26.3,15.35,53.54,28.99,152.67
205.12,26.92,15.34,54.71,29.69,155.26
206.02,27.39,15.13,55.05,29.93,157.6
205.52,27.25,15.32,55.23,29.68,157.58
206.92,27.5,15.84,55.57,29.93,158.25
206.25,27.78,16.47,55.43,29.66,157.73
